TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES"
"Gold Champagne Sequin Bolero Shrug Formal Wedding or Bridal Party, Holiday - Classic and Simple - EcoFriendly - SALLY","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Sally is chic, classic and simple. It features gold sequins on a lined cropped shrug with a curved front. The sleeves are angled for a more modern look. The perfect addition to any holiday or special occasion outfit! It is lined in a white jersey fabric for added comfort. 

Last photo by www.luminaireimages.com/

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",80,USD,10,"Clothing,Sweater,Shrug,classic,cropped,sequin_sequined,formal,ecofriendly,matte,fitted_bolero,womens_shrug,bridal_shurg,wedding_bolero,gold_bolero,champagne_bolero,white","sequins,thread,modal jersey",https://img1.etsystatic.com/038/1/5635488/il_fullxfull.532608371_46jy.jpg,https://img0.etsystatic.com/022/0/5635488/il_fullxfull.532524002_6sdp.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.492215598_cgim.jpg,https://img0.etsystatic.com/018/0/5635488/il_fullxfull.492215682_614h.jpg,https://img1.etsystatic.com/023/0/5635488/il_fullxfull.492269037_3463.jpg,Color,Color,Gold,Size,Size,"XS,S,L,XL"
"Modal EcoFriendly Organic Gray Cowl Neck Womens Blouse, Soft Eco Friendly Jersey Classic Womens Blouse, Navy Gray White - SARA","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Sara cowl neck blouse is a must have staple! So easy to throw on, with the easy and comfort of a Tshirt but with upgraded style. My versions of the cowl necks are made with ecofriendly and organic fabrics!

Gray + White blouses are made with a super soft featherweight modal jersey. 
Navy and Dark Gray (organic) are made with a bamboo spandex blend. 
Red is made with modal organic cotton spandex blend. 

Gray: XS, S or L
White: XS, S or XL
Navy: XS, S, M, L or XL
Red: XS, S, M, L or XL
Dark Gray (W/ Purple Undertone): L

Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/163756815/womens-cowl-neck-blouse-ecofriendly?ref=shop_home_active

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (NOT Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,USD,9,"Clothing,Tshirt,Tunic,tshirt,shirt,cowl_neck,gray_grey,ecofriendly,eco_friendly,womens_blouse,classic_blouse,bamboo_clothing,modal_jersey,eco_friendly_womens,clothing,organic","jersey,thread",https://img1.etsystatic.com/020/1/5635488/il_fullxfull.493131207_8os7.jpg,https://img0.etsystatic.com/018/0/5635488/il_fullxfull.492703714_t977.jpg,https://img0.etsystatic.com/031/0/5635488/il_fullxfull.516599636_exvl.jpg,https://img1.etsystatic.com/038/0/5635488/il_fullxfull.516665787_edig.jpg,https://img0.etsystatic.com/020/0/5635488/il_fullxfull.544778926_o1sc.jpg,Color,Color,"Gray,Red,White,Navy,Dark Gray",Size,Size,"XS,S,M,L,XL"
"Womens Fleece Lined Leggings, Stretch Black Pants, Thick and Warm, EcoFriendly Bamboo Fleece - KATYA","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

Katya leggings are an everyday classic design made with ecofriendly bamboo spandex fleece leggings for extra warmth. These are about 2.5 times thicker than your standard leggings. These are easy to fit and can stretch to accommodate longer legs. Great for daily use, yoga, or under ski pants for winter sports!

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (Not Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",70,USD,1,"Clothing,Women,Pants,thick_leggings,fleece_leggings,fleece_lined,womens_fleece,womens_leggings,black_thick_pants,ecofriendly,eco_friendly,fleece_fabric,bamboo_fleece,yoga,tights,thermal_underwear","elastic,fleece,thread",https://img1.etsystatic.com/020/1/5635488/il_fullxfull.544873007_g7x6.jpg,https://img0.etsystatic.com/018/1/5635488/il_fullxfull.492594034_oa9r.jpg,https://img1.etsystatic.com/017/1/5635488/il_fullxfull.492647025_926t.jpg,https://img1.etsystatic.com/032/0/5635488/il_fullxfull.544873031_3p3y.jpg,https://img0.etsystatic.com/022/0/5635488/il_fullxfull.544781226_qq8x.jpg,Size,Size,"XS,S,M,L,XL"
"Gray Eyelet Dress, Womens Day Sun Dress, Eco Friendly Modal, Criss Cross X Back, Lace, Long Knee Length, Also White - TRACY","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Tracy dress is made with a cotton eyelet lace and lined in an eco friendly modal jersey (the softest you'll ever feel!), this dress is simply a must have classic! The front is cut in a body flattering fit and flare, while the criss cross back provides a little Summer sass! This is a pull on dress with an elastic back and side seam pockets.

* Please note that the Gray version is made to be knee length. It is about 1 1/2 inches longer than the white version. The Model in the photos is 5'4'' *

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",120,USD,8,"Clothing,Dress,Sundress,womens_dress,cotton,eyelet,lace,semi_formal,criss_cross_back,country_club,vintage_style,classic,ecofriendly,white_eyelet,summer_dress,eco_friendly","eyelet,modal,elastic,thread",https://img0.etsystatic.com/038/1/5635488/il_fullxfull.516872426_ldfm.jpg,https://img1.etsystatic.com/041/0/5635488/il_fullxfull.516932409_6ulj.jpg,https://img0.etsystatic.com/018/4/5635488/il_fullxfull.493717762_i79g.jpg,https://img0.etsystatic.com/022/0/5635488/il_fullxfull.493717802_r8h4.jpg,https://img1.etsystatic.com/020/0/5635488/il_fullxfull.516934103_djku.jpg,Size,Size,"XS,S,M,L",Color,Color,"Gray,White"
"Organic Blouse Button Up Back Hot Pink Fuschia Purple Bright Color Block, Neon, Organic Cotton, Modal Jersey  - CHLOE","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Chloe blouse features a casual color block pattern, with stylish faux shell gold rimmed buttons at the back. Easy to throw on, comfortable and classic, this will be your go to Tee for Summer! Wear with pride - These blouses are made with an eco friendly jersey!

Pink fabric: 67% bamboo, 27% organic cotton and 6% spandex 
All other colors: 47% modal, 47% organic cotton and 6 %spandex 

Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/170707958/2-womens-colorblock-tshirts-organic

✦ These blouses are not recommended for customers with long torsos ✦ 

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (NOT Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo me your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,USD,9,"Clothing,Shirt,Women,lighweight,color_block,colorblock,purple_violet,casual,work_appropriate,navy,womens_tshirts,button_up_back,womens_blouses,organic,bamboo_jersey,organic_womens","buttons,thread,organic jersey",https://img0.etsystatic.com/042/0/5635488/il_fullxfull.531183066_dr0u.jpg,https://img1.etsystatic.com/024/0/5635488/il_fullxfull.531251855_dd6c.jpg,https://img1.etsystatic.com/019/0/5635488/il_fullxfull.531269037_tgdv.jpg,https://img0.etsystatic.com/019/0/5635488/il_fullxfull.544788276_qxmw.jpg,https://img0.etsystatic.com/027/0/5635488/il_fullxfull.544788292_tc4u.jpg,Size,Size,"S,M,L,XL",Color,Color,"Pink/Purple,Teal/Navy,Red/Navy"
"Organic Cowl Neck, Womens Blouse Eco Friendly Modal Bamboo Cotton Jersey, Dark Gray, Navy, White - SARA","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Sara cowl neck blouse is a must have staple! So easy to throw on, with the easy and comfort of a Tshirt but with upgraded style. My versions of the cowl necks are made with ecofriendly and organic fabrics!

Gray + White blouses are made with a super soft featherweight modal jersey. 
Navy and Dark Gray (organic) are made with a bamboo spandex blend. 
Red is made with modal organic cotton spandex blend. 

Gray: XS, S or L
White: XS, S or XL
Navy: XS, S, M, L or XL
Red: XS, S, M, L or XL
Dark Gray (W/ Purple Undertone): L

Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/163756815/womens-cowl-neck-blouse-ecofriendly?ref=shop_home_active

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (NOT Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,USD,5,"Clothing,Tshirt,Tunic,chic,short_sleeve,cotton,layered,draped_drapey,soft,cowl_neck,womens_blouse,organic,eco_friendly,ecofriendly,bamboo,tshirt","jersey,thread",https://img0.etsystatic.com/041/0/5635488/il_fullxfull.516601224_be3y.jpg,https://img1.etsystatic.com/044/0/5635488/il_fullxfull.516667367_ldwc.jpg,https://img0.etsystatic.com/019/0/5635488/il_fullxfull.516601236_d4lx.jpg,https://img1.etsystatic.com/018/0/5635488/il_fullxfull.516667315_hbi0.jpg,https://img1.etsystatic.com/017/0/5635488/il_fullxfull.544870145_qwrn.jpg,Color,Color,"Gray,Red,White,Navy,Dark Gray",Size,Size,"XS,S,M,L,XL"
"Organic Womens Blouse, Modal Bamboo Jersey, Colorblock Teal Navy, Button Up Back, Classic Tshirt - CHLOE","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Chloe blouse features a casual color block pattern, with stylish faux shell gold rimmed buttons at the back. Easy to throw on, comfortable and classic, this will be your go to Tee for Summer! Wear with pride - These blouses are made with an eco friendly jersey!

Pink fabric: 67% bamboo, 27% organic cotton and 6% spandex 
All other colors: 47% modal, 47% organic cotton and 6 %spandex 

Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/170707958/2-womens-colorblock-tshirts-organic

✦ These blouses are not recommended for customers with long torsos ✦

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (NOT Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo me your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,USD,4,"Clothing,Shirt,Women,color_block,colorblock,casual,navy,womens_tshirts,button_up_back,womens_blouses,organic,bamboo_jersey,organic_jersey,womens_clothing,teal,shades_of_blue","buttons,thread,organic jersey",https://img1.etsystatic.com/019/0/5635488/il_fullxfull.531269037_tgdv.jpg,https://img1.etsystatic.com/024/0/5635488/il_fullxfull.531251855_dd6c.jpg,https://img1.etsystatic.com/039/0/5635488/il_fullxfull.531276469_b770.jpg,https://img0.etsystatic.com/041/0/5635488/il_fullxfull.544788040_5ws7.jpg,https://img1.etsystatic.com/032/0/5635488/il_fullxfull.544879639_22w5.jpg,Size,Size,"S,M,L,XL",Color,Color,"Pink/Purple,Teal/Navy,Red/Navy"
"Navy Blue Cowl Neck, Womens Blouse, Eco Friendly Jersey, Bamboo Organic Cotton, Classic Comfortable, Also in White Grey Modal - SARA","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Sara cowl neck blouse is a must have staple! So easy to throw on, with the easy and comfort of a Tshirt but with upgraded style. My versions of the cowl necks are made with ecofriendly and organic fabrics!

Gray + White blouses are made with a super soft featherweight modal jersey. 
Navy and Dark Gray (organic) are made with a bamboo spandex blend. 
Red is made with modal organic cotton spandex blend. 

Gray: XS, S or L
White: XS, S or XL
Navy: XS, S, M, L or XL
Red: XS, S, M, L or XL
Dark Gray (W/ Purple Undertone): L

Interested in more than 1 color? Buy 2 pieces at a discount here:
https://www.etsy.com/listing/163756815/womens-cowl-neck-blouse-ecofriendly?ref=shop_home_active

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (NOT Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",50,USD,4,"Clothing,Tshirt,Tunic,tshirt,shirt,top,cowl_neck,gray_grey,ecofriendly,navy_blue,eco_friendly,womens_blouse,classic_blouse,womens_top,modal_fabric,bamboo_jersey","jersey,thread",https://img1.etsystatic.com/023/1/5635488/il_fullxfull.493307085_e2mi.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.493251582_7gbu.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.493074926_kiy3.jpg,https://img0.etsystatic.com/043/0/5635488/il_fullxfull.516599380_biw9.jpg,https://img1.etsystatic.com/043/0/5635488/il_fullxfull.544870309_g4wt.jpg,Color,Color,"Gray,Red,White,Navy,Dark Gray",Size,Size,"XS,S,M,L,XL"
"EcoFriendly Womens Black Hoodie With Asymmetric Zipper in Bamboo Sweatshirt Fleece, Rocker Style - HANNAH","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

A little added style to a classic little black sweater, the Hannah hoodie features an asymmetrical metal zip and an oversized hood. Understated style at its best!

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (Not Bra Size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",110,USD,8,"Clothing,Sweatshirt,Hoodie,jet_black,edgy,jacket,asymmetrical,eco_friendly,hoodie_hooded,bamboo_clothing,natural_fabric,womens_sweatshirt,black_hoodie,sweatshirt,fleece_sweatshirt,ecofriendly_clothing","fleece,zipper,thread",https://img1.etsystatic.com/020/0/5635488/il_fullxfull.492650663_ib8v.jpg,https://img1.etsystatic.com/020/0/5635488/il_fullxfull.492650615_q2ai.jpg,https://img0.etsystatic.com/017/0/5635488/il_fullxfull.492597600_hrx3.jpg,https://img1.etsystatic.com/017/0/5635488/il_fullxfull.492650641_3807.jpg,https://img0.etsystatic.com/017/0/5635488/il_fullxfull.492597680_qmy8.jpg,Size,Size,"XS,S,M"
"Gold Champagne Sequin Bolero Shrug Formal Wedding or Bridal Party, Holiday - Classic and Simple - EcoFriendly - SALLY","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

The Sally is chic, classic and simple. It features gold sequins on a lined cropped shrug with a curved front. The sleeves are angled for a more modern look. The perfect addition to any holiday or special occasion outfit! It is lined in a white jersey fabric for added comfort. 

Last photo by www.luminaireimages.com/

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust; Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",80,USD,9,"Clothing,Sweater,Shrug,classic,cropped,sequin_sequined,formal,ecofriendly,matte,fitted_bolero,womens_shrug,bridal_shurg,wedding_bolero,gold_bolero,champagne_bolero,white","sequins,thread,modal jersey",https://img1.etsystatic.com/021/0/5635488/il_fullxfull.492272281_si4v.jpg,https://img0.etsystatic.com/024/0/5635488/il_fullxfull.492215598_cgim.jpg,https://img0.etsystatic.com/018/0/5635488/il_fullxfull.492215682_614h.jpg,https://img1.etsystatic.com/023/0/5635488/il_fullxfull.492269037_3463.jpg,https://img1.etsystatic.com/038/1/5635488/il_fullxfull.532608371_46jy.jpg,Color,Color,Gold,Size,Size,"XS,S,L,XL"
"Hoodie Wrap, EcoFriendly Fabric, Womens Sweater Wrap, Japanese Print and Bamboo Eco Friendly Jersey - KANA","Shop Policies: 
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav 

After multiple requests, I've brought back the original pattern and style without any of the side ties. This sweater wrap is super easy and comfortable to throw on and looks good loose, or tied behind the back. It is made with an ecofriendly bamboo cotton jersey.

Floral: S, M or XL
Indigo: M, L or XL
Sakura: XS, S, L or XL

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

SIZING

Bust (NOT bra size); Waist; Hip
XS ----- 32, 26, 34
S ----- 34, 28, 36
M ----- 36, 30, 38
L ----- 38, 32, 40 
XL ----- 40, 34, 42

Many of my items include spandex and can therefore accommodate slightly larger or smaller body measurements. Please use these body measurements as a general outline :)

●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●●

●● MAILING LIST ●● 
Convo us your email address to receive occasional newsletters with exclusive discounts!

POLICIES PAGE
https://www.etsy.com/shop/Kulayan/policy?ref=shopinfo_policies_leftnav

BROWSE THE REST OF OUR SHOP HERE:
https://www.etsy.com/shop/Kulayan?ref=si_shop",80,USD,2,"Clothing,Women,cardigan,navy,japanese_kawaii,spring_floral,flowers,ecofriendly,wrap,yoga_wrap,womens_sweater,hoodie,bamboo_clothing,eco_friendly,ecofriendly_clothing","thread,cotton,bamboo jersey",https://img0.etsystatic.com/019/1/5635488/il_fullxfull.503478820_eal7.jpg,https://img0.etsystatic.com/020/0/5635488/il_fullxfull.503479526_nq8h.jpg,https://img1.etsystatic.com/017/0/5635488/il_fullxfull.503541729_i1vw.jpg,https://img1.etsystatic.com/024/0/5635488/il_fullxfull.503541743_rk0g.jpg,https://img1.etsystatic.com/022/0/5635488/il_fullxfull.503541771_eeen.jpg,Color,Color,"Indigo,Sakura - SALE,Floral - SALE",Size,Size,"XS,S,M,L,XL"
